CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,ECOSUBCD,CONGCD,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,EMAP_HEX,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,ECO_UNIT_PNW,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,CONDCHNGCD_RMRS,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PRECIPITATION,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD,INCIDENT,FIRE_YEAR_,area,perimeter
"558629615126144","532456097126144","92010497","29881557010497","2019","53","8","47","72740","2",,"2019","6","24",10.1,"2","501",,,48.273646,-119.366112,"1100","2","2","1",,342Im,"5304",8,,"1",2020/02/11 14:25:25,2024/08/13 13:05:25,OFFSET,15,,"1","4","24","1","6","8",,,"0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"24557","153648002020004","92010497",,"2001","53","8","47","179","2",,"2001","10","15",,"0","559",,,48.353489,-119.455315,"0",,,,,342Im,"5304",0.1,,,2012/12/13 15:19:07,2024/08/13 13:05:25,,,,"1","4",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"24562","153648002020004","92010497",,"2001","53","8","47","184","1",,"2001","5","22",,"0","559",,,48.295155,-119.377831,"328",,,,,342Im,"5304",0.1,,,2012/12/13 15:19:07,2024/08/13 13:05:25,,,,"1","4",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"24577","153648002020004","92010497",,"2001","53","8","47","199","2",,"2001","10","15",,"0","559",,,48.283768,-119.345871,"0",,,,,M333Ah,"5304",0.1,,,2012/12/13 15:19:07,2024/08/13 13:05:25,,,,"1","4",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mary's Mission Road,"2012",68219374.025419667363167,83407.246075605391525
"24864613010900","24548538010900","60010497",,"2004","53","6","9","94392","1",,"2004","10","9",,"1","502","6","4",48.033509,-124.212153,"1300",,,"1",,M242Ac,"5306",2,,"1",2005/04/18 21:07:44,2024/08/13 12:49:23,OFFSET,19,,"1","4","30","1","5","3","0","5",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,UNNAMED,"1939",79976794.023406252264977,113445.521953274874249
"22398660010497","22132265010497","60010497",,"2004","53","6","9","60484","1",,"2004","10","6",,"1","502","6","1",48.086773,-124.214844,"900",,,"1",,M242Aa,"5306",2,,"1",2008/01/25 10:47:23,2024/08/13 12:49:23,OFFSET,19,,"1","4","30","201","1","4",,"5",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,UNNAMED,"1939",79976794.023406252264977,113445.521953274874249
"24128987010900","24120389010900","60010497",,"2002","53","6","9","75022","1",,"2002","7","12",,"1","502","2","0",48.159662,-124.110434,"700",,,"4",,M242Ac,"5306",1.6,,"1",2005/04/17 10:17:10,2024/08/13 12:49:23,OFFSET,19.5,,"1","4","30","1","5","1","0","9",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"5","0","0",,,UNNAMED,"1939",79976794.023406252264977,113445.521953274874249
"30764448020004","48466120010497","60010497","24128987010900","2012","53","6","9","75022","1",,"2012","5","24",9.9,"2","502","2","0",48.159662,-124.110434,"700","2","2","4",,M242Ac,"5306",5.1,,"1",2013/03/12 14:24:26,2024/08/13 12:49:23,OFFSET,17,,"1","4","30","1","6","1",,"7","0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1939",79976794.023406252264977,113445.521953274874249
"238861630489998","234667968020004","60010497","22398660010497","2014","53","6","9","60484","1",,"2014","8","11",9.9,"2","502","6","0",48.086773,-124.214844,"900","2","2","1",,M242Aa,"5306",6,,"1",2015/02/17 13:06:49,2024/08/13 12:49:23,OFFSET,17,,"1","4","30","201","2","4",,"5","1",,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,UNNAMED,"1939",79976794.023406252264977,113445.521953274874249
"216958939020004","208669869020004","60010497","24864613010900","2014","53","6","9","94392","1",,"2014","5","22",9.6,"2","502","6","9",48.033509,-124.212153,"1300","2","2","1",,M242Ac,"5306",6,,"1",2015/02/17 12:56:34,2024/08/13 12:49:23,OFFSET,17,,"1","4","30","1","6","3",,"5","1",,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,UNNAMED,"1939",79976794.023406252264977,113445.521953274874249
"22954647010497","5867230010901","82010497",,"2007","53","8","7","93547","2",,"2007","10","4",,"1","501","5","0",47.957798,-119.932267,"2100",,,"4",,M242De,"5308",3,,"1",2008/04/17 15:33:48,2024/08/13 12:47:41,OFFSET,17,,"1","4","24","1","5","6","0","6",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,Antoine 2,"2012",27677782.000799477100372,28197.567994371191162
"29883386010497","29878201010497","92010497",,"2009","53","8","47","79990","2",,"2009","9","30",,"1","501",,,47.987282,-119.899969,"1100",,,"1",,342Im,"5304",3,,"1",2010/05/27 12:48:36,2024/08/13 13:05:25,OFFSET,17,,"2","1","24","1","5","8",,,,,,,,,,,9.2,"1",,,,,,,,,,,,,,,,Antoine 2,"2012",27677782.000799477100372,28197.567994371191162
"558629649126144","532456097126144","92010497","29883386010497","2019","53","8","47","79990","2",,"2019","9","1",9.9,"2","501",,,47.987282,-119.899969,"1100","2","2","1",,342Im,"5304",8,,"1",2020/02/11 14:23:12,2024/08/13 13:05:25,OFFSET,,,"2","4","24","1","6","8",,,,,,,,,,,9.2,"1",,,,,,,,,,,,,,,,Antoine 2,"2012",27677782.000799477100372,28197.567994371191162
"412223004489998","384841470489998","82010497","22954647010497","2017","53","8","7","93547","2",,"2017","9","1",9.9,"2","501",,,47.957798,-119.932267,"2100","2","2","4",,M242De,"5308",7.1,,"1",2018/02/14 18:14:16,2024/08/13 12:47:42,OFFSET,,,"2","4","24","1","6","6",,,,,,,,,,,9.2,"2",,,,,,,,,,,,,,,,Antoine 2,"2012",27677782.000799477100372,28197.567994371191162
"22399048010497","22132266010497","75010497",,"2005","53","5","61","71358","1",,"2005","8","7",,"1","502","8","1",47.886899,-121.271577,"3500",,,"2",,M242Db,"5308",2,,"1",2008/01/24 21:32:04,2024/08/13 13:11:47,OFFSET,18,,"1","4","30","203","1","5",,"5",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"22398513010497","22132264010497","92010497",,"2003","53","8","47","74297","1",,"2003","7","3",,"1","501","5","0",48.517375,-119.963035,"5500",,,"5",,M242Dd,"5304",1.5,,"1",2008/01/25 12:05:11,2024/08/13 13:05:25,OFFSET,18,,"1","4","24","203","1","3",,"4",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"5","0","0",,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"22398535010497","22132264010497","92010497",,"2003","53","8","47","67394","1",,"2003","7","2",,"1","501","5","0",48.500416,-119.961062,"5300",,,"5",,M242Dd,"5304",1.5,,"1",2008/01/25 12:08:05,2024/08/13 13:05:25,OFFSET,18,,"1","4","24","202","1","3",,"4",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"5","0","0",,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"22398531010497","22132264010497","92010497",,"2003","53","8","47","99435","1",,"2003","7","1",,"1","501","7","4",48.554639,-119.955001,"6500",,,"5",,M242Dd,"5304",1.5,,"1",2008/01/25 12:07:28,2024/08/13 13:05:25,OFFSET,18,,"1","4","24","202","1","3",,"5",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"4","5","0",,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"48202842010497","48201639010497","65010497",,"2011","53","6","31","96279","1",,"2011","7","13",,"1","502","5","0",47.720159,-122.98122,"1100",,,"3",,M242Ad,"5306",5,,"7",2012/07/26 14:40:40,2024/08/13 12:55:50,OFFSET,17,,"1","4","30","1","5","10",,"4","1",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"174763481020004","44513110020004","92010497","22398531010497","2013","53","8","47","99435","1",,"2013","8","26",10.2,"2","501","7","1",48.554639,-119.955001,"6500","2","2","5",,M242Dd,"5304",6,,"1",2014/04/11 17:16:28,2024/08/13 13:05:25,OFFSET,16,,"1","4","24","202","2","3",,"5","1",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"174763541020004","44513110020004","92010497","22398535010497","2013","53","8","47","67394","1",,"2013","8","23",10.2,"2","501","4","0",48.500416,-119.961062,"5300","2","2","5",,M242Dd,"5304",6,,"1",2014/04/11 17:16:38,2024/08/13 13:05:25,OFFSET,16,,"1","4","24","202","2","3",,"4","1",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"174763129020004","44513110020004","92010497","22398513010497","2013","53","8","47","74297","1",,"2013","8","24",10.2,"2","501","6","0",48.517375,-119.963035,"5500","2","2","5",,M242Dd,"5304",6,,"1",2014/04/11 17:15:52,2024/08/13 13:05:25,OFFSET,16,,"1","4","24","203","2","3",,"4","1",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"8623724010901","8601028010901","92010497",,"2006","53","8","47","91710","1",,"2006","6","27",,"1","501","6","0",48.521608,-119.921793,"5900",,,"3",,M242Dd,"5304",3,,"1",2007/04/30 15:40:00,2024/08/13 13:05:25,OFFSET,17.5,,"1","4","24","1","5","5","0","4",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"29882836010497","29878196010497","92010497",,"2009","53","8","47","51922","1",,"2009","6","30",,"1","501","6","4",48.544314,-119.927223,"4700",,,"1",,M242Dd,"5304",3,,"1",2010/05/27 12:47:19,2024/08/13 13:05:25,OFFSET,17,,"1","4","24","203","1","9",,"4",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"48204971010497","48201639010497","75010497",,"2011","53","5","61","54295","1",,"2011","9","21",,"1","502","9","1",47.905639,-121.214236,"3900",,,"3","3",M242Db,"5308",5,,"1",2012/07/26 14:42:18,2024/08/13 13:11:47,OFFSET,16.5,,"1","4","30","1","5","10",,"4","1",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"750082627290487","719906688290487","65010497","48202842010497","2021","53","6","31","96279","1",,"2021","7","24",10,"2","502","5","0",47.720159,-122.98122,"1100","2","2","3",,M242Ad,"5306",9,,"1",2022/03/07 21:00:08,2024/08/13 12:55:50,OFFSET,15.5,,"1","4","30","1","6","10",,"4","0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"750082674290487","719906688290487","75010497","48204971010497","2021","53","5","61","54295","1",,"2021","8","4",9.9,"2","502","8","1",47.905639,-121.214236,"3900","2","2","3","3",M242Db,"5308",9,,"1",2022/03/07 21:00:13,2024/08/13 13:11:47,OFFSET,15,,"1","4","30","1","6","10",,"4","0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"558630833126144","532456096126144","92010497","29882836010497","2019","53","8","47","51922","1",,"2019","5","21",9.9,"2","501","7","1",48.544314,-119.927223,"4700","2","2","1",,M242Dd,"5304",8,,"1",2020/02/11 14:23:55,2024/08/13 13:05:25,OFFSET,15,,"1","4","24","203","2","9",,"4","0",,,"2","3","0",,,9.2,"1",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"345936159489998","310278370489998","92010497","8623724010901","2016","53","8","47","91710","1",,"2016","6","28",10,"2","501","5","0",48.521608,-119.921793,"5900","2","2","3",,M242Dd,"5304",7,,"1",2017/03/29 08:53:18,2024/08/13 13:05:25,OFFSET,16,,"1","4","24","1","6","5",,"4","1",,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,UNNAMED,"1918",59314997.167254760861397,129172.247201446225517
"22933065010497","29361192010497","82010497",,"2008","53","8","7","60345","2",,"2008","9","30",,"1","501",,"0",47.516845,-120.374595,"2100",,,"5",,342Ia,"5308",3,,"1",2009/06/06 11:55:52,2024/08/13 12:47:41,OFFSET,17,,"2","1","24","1","5","7","0",,,,,,,,,,9.2,"2",,,,,,,,,,,,,,,,Easy Street,"2007",21080272.490973319858313,22442.018698909454542
"484819192489998","468963851489998","82010497","22933065010497","2018","53","8","7","60345","2",,"2018","9","1",9.9,"2","501",,,47.516845,-120.374595,"2100","2","2","5",,342Ia,"5308",7.2,,"1",2019/04/26 17:56:41,2024/08/13 12:47:42,OFFSET,,,"2","4","24","1","6","7",,,,,,,,,,,9.2,"2",,,,,,,,,,,,,,,,Easy Street,"2007",21080272.490973319858313,22442.018698909454542
"23967","153648002020004","82010497",,"2001","53","8","7","79","2",,"2001","10","15",,"0","559",,,47.513741,-120.381195,"0",,,,,342Ia,"5308",0.1,,,2012/12/13 15:19:03,2024/08/13 12:47:42,,,,"1","4",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy Street,"2007",21080272.490973319858313,22442.018698909454542
"24861567010900","24548538010900","82010497",,"2004","53","8","7","51985","1",,"2004","7","3",,"1","501","1","0",48.034619,-120.241481,"3300",,,"1",,M242Df,"5308",2,,"1",2005/04/18 21:06:04,2024/08/13 12:47:41,OFFSET,18,,"1","4","24","1","5","3","0","4",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"22398185010497","22132268010497","82010497",,"2002","53","8","7","83877","1",,"2003","6","23",,"1","501","3","0",48.010838,-120.17671,"4700",,,"4",,M242Df,"5308",1.5,,"1",2008/01/25 11:32:29,2024/08/13 12:47:41,OFFSET,21.5,,"1","4","24","201","1","2",,"3",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"0","0","0",,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"22398389010497","22132264010497","82010497",,"2003","53","8","7","72374","2",,"2003","9","13",,"1","501","3","0",47.96242,-120.137084,"2900",,,"5",,M242Df,"5308",1.5,,"1",2008/01/25 12:16:12,2024/08/13 12:47:41,OFFSET,,,"1","4","24","201","1","3",,"2",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"0","0","0",,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"12969073010497","12963633010497","82010497",,"2005","53","8","7","55897","1",,"2005","8","27",,"1","501","6","0",48.090915,-120.239314,"5500",,,"2",,M242Df,"5308",2,,"1",2006/02/23 14:42:42,2024/08/13 12:47:41,OFFSET,17.5,,"1","4","24","1","5","4","0","4",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"22398870010497","22132266010497","82010497",,"2005","53","8","7","80702","1",,"2005","5","10",,"1","501","5","4",48.009959,-120.142266,"3300",,,"2",,M242Df,"5308",2,,"1",2008/01/24 20:58:59,2024/08/13 12:47:41,OFFSET,17.5,,"1","4","24","201","1","5",,"4",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"22398398010497","22132264010497","82010497",,"2003","53","8","7","81771","1",,"2003","9","20",,"1","501","5","0",48.087228,-120.272895,"5500",,,"5",,M242Df,"5308",1.5,,"1",2008/01/25 12:17:50,2024/08/13 12:47:41,OFFSET,18,,"1","4","24","201","1","3",,"4",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"0","0","0",,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"22398399010497","22132264010497","82010497",,"2003","53","8","7","68020","3","3","2003","9","22",,"1","501","7","0",48.00883,-120.101194,"4500",,,"5",,M242Df,"5308",1.5,,"1",2008/01/25 12:17:57,2024/08/13 12:47:41,OFFSET,,,"1","1","24","203","1","3",,"5",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"0","0","0",,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"22398386010497","22132264010497","82010497",,"2003","53","8","7","56922","1",,"2003","9","21",,"1","501","2","4",48.034873,-120.205004,"3900",,,"5",,M242Df,"5308",1.5,,"1",2008/01/25 12:15:57,2024/08/13 12:47:41,OFFSET,18,,"1","4","24","202","1","3",,"4",,,,"2","3","0",,,9.2,"1",,,,,,,,,,,"0","0","0",,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
"22398644010497","22132265010497","82010497",,"2004","53","8","7","89637","1",,"2004","7","4",,"1","501","5","0",48.056594,-120.203785,"4700",,,"1",,M242Df,"5308",2,,"1",2008/01/25 10:44:54,2024/08/13 12:47:41,OFFSET,18,,"1","4","24","201","1","4",,"3",,,,"2","3","0",,,9.2,"2",,,,,,,,,,,,,,,,Deer Point,"2002",175535682.538670063018799,79265.785839799034875
