Plot_ID,AZ,Species,Height,Count,Notes
118036_CMN,North,LP,<1 m,1,
118036_CMN,North,WL,1-2 m,2,
118036_CMN,East,DF,<1 m,6,
118036_CMN,East,WL,<1 m,14,
118036_CMN,East,SF,<1 m,2,
118036_CMN,East,AS,<1 m,2,
118036_CMN,East,WL,1-2 m,4,
118036_CMN,South,DF,<1 m,16,
118036_CMN,South,DF,1-2 m,1,
118036_CMN,South,LP,<1 m,5,
118036_CMN,South,WL,<1 m,34,
118036_CMN,South,WL,1-2 m,16,
118036_CMN,South,SF,<1 m,5,
118036_CMN,West,DF,<1 m,10,
118036_CMN,West,LP,<1 m,8,
118036_CMN,West,LP,1-2 m,4,
118036_CMN,West,WL,<1 m,38,
118036_CMN,West,WL,1-2 m,2,
118036_CMN,West,SF,<1 m,3,
118036_CMN,West,AS,<1 m,6,
118036_CMN,West,AS,1-2 m,2,
150974_CHS,North,DF,<1 m,12,
150974_CHS,North,DF,1-2 m,42,
150974_CHS,North,DF,2-4 m,3,
150974_CHS,North,LP,<1 m,2,
150974_CHS,North,LP,1-2 m,15,
150974_CHS,North,LP,2-4 m,30,
150974_CHS,North,WL,<1 m,2,
150974_CHS,North,WL,1-2 m,17,
150974_CHS,North,WL,2-4 m,11,
150974_CHS,East,DF,<1 m,74,
150974_CHS,East,DF,1-2 m,46,
150974_CHS,East,LP,<1 m,22,
150974_CHS,East,LP,1-2 m,24,
150974_CHS,East,LP,2-4 m,5,
150974_CHS,East,WL,<1 m,4,
150974_CHS,East,WL,1-2 m,19,
150974_CHS,East,AS,<1 m,8,
150974_CHS,East,WL,2-4 m,9,
150974_CHS,East,ES,<1 m,12,
150974_CHS,South,AS,<1 m,4,
150974_CHS,South,AS,1-2 m,5,
150974_CHS,South,DF,<1 m,70,
150974_CHS,South,DF,1-2 m,8,
150974_CHS,South,ES,<1 m,13,
150974_CHS,South,LP,<1 m,13,
150974_CHS,South,LP,1-2 m,14,
150974_CHS,South,LP,2-4 m,6,
150974_CHS,South,WL,<1 m,3,
150974_CHS,South,WL,1-2 m,19,
150974_CHS,South,WL,2-4 m,3,
150974_CHS,West,AS,<1 m,9,
150974_CHS,West,AS,1-2 m,9,
150974_CHS,West,AS,2-4 m,2,
150974_CHS,West,DF,<1 m,30,
150974_CHS,West,DF,1-2 m,14,
150974_CHS,West,DF,2-4 m,1,
150974_CHS,West,WL,<1 m,2,
150974_CHS,West,WL,1-2 m,10,
150974_CHS,West,WL,2-4 m,9,
150974_CHS,West,LP,<1 m,11,
150974_CHS,West,LP,1-2 m,21,
150974_CHS,West,LP,2-4 m,16,
4517_DHS,North,LP,1-2 m,3,
4517_DHS,North,LP,2-4 m,3,
4517_DHS,North,DF,<1 m,14,
4517_DHS,North,DF,1-2 m,6,
4517_DHS,North,DF,2-4 m,1,
4517_DHS,North,WL,<1 m,1,
4517_DHS,North,WL,1-2 m,1,
4517_DHS,East,LP,<1 m,4,
4517_DHS,East,LP,1-2 m,4,
4517_DHS,East,LP,2-4 m,12,
4517_DHS,East,DF,<1 m,13,
4517_DHS,East,DF,1-2 m,4,
4517_DHS,East,DF,2-4 m,7,
4517_DHS,East,WL,<1 m,4,
4517_DHS,East,WL,1-2 m,1,
4517_DHS,South,LP,<1 m,1,
4517_DHS,South,LP,2-4 m,2,
4517_DHS,South,DF,<1 m,9,
4517_DHS,South,DF,1-2 m,10,
4517_DHS,South,DF,2-4 m,2,
4517_DHS,South,WL,1-2 m,1,
4517_DHS,West,LP,<1 m,1,
4517_DHS,West,DF,<1 m,8,
4517_DHS,West,DF,1-2 m,6,
4517_DHS,West,DF,2-4 m,2,
4517_DHS,West,WL,<1 m,2,
4615_DMN,North,DF,2-4 m,1,
4615_DMN,East,DF,1-2 m,3,
4615_DMN,East,DF,2-4 m,2,
4615_DMN,South,DF,<1 m,5,
4615_DMN,South,DF,1-2 m,11,
4615_DMN,South,DF,2-4 m,14,
4615_DMN,West,DF,<1 m,8,
4615_DMN,West,DF,1-2 m,4,
4615_DMN,West,DF,2-4 m,8,
4644_DMN,North,DF,<1 m,8,
4644_DMN,North,DF,1-2 m,7,
4644_DMN,North,DF,2-4 m,3,
4644_DMN,East,DF,1-2 m,2,
4644_DMN,South,DF,1-2 m,1,
4644_DMN,South,DF,2-4 m,2,
4644_DMN,West,DF,1-2 m,2,
4644_DMN,West,DF,2-4 m,10,
151200_MMS,North,DF,<1 m,6,
151200_MMS,North,DF,1-2 m,4,
151200_MMS,North,WL,<1 m,1,
151200_MMS,East,DF,2-4 m,1,
151200_MMS,East,SF,2-4 m,1,
151200_MMS,South,LP,1-2 m,3,
151200_MMS,South,LP,2-4 m,8,
151200_MMS,South,DF,<1 m,14,
151200_MMS,South,DF,1-2 m,14,
151200_MMS,South,DF,2-4 m,3,
151200_MMS,South,AS,2-4 m,1,
151200_MMS,South,WL,<1 m,1,
151200_MMS,South,WL,1-2 m,1,
4817_DHN,East,DF,<1 m,11,
4817_DHN,East,DF,1-2 m,4,
4817_DHN,East,DF,2-4 m,4,
4817_DHN,West,DF,<1 m,1,
4817_DHN,West,DF,2-4 m,4,
4817_DHN,South,DF,<1 m,3,
4817_DHN,South,DF,1-2 m,2,
4817_DHN,South,DF,2-4 m,5,
4817_DHN,South,PP,<1 m,1,
151191_CMS,North,DF,<1 m,19,
151191_CMS,North,DF,1-2 m,2,
151191_CMS,North,WL,<1 m,4,
151191_CMS,North,WL,1-2 m,11,
151191_CMS,North,WL,2-4 m,1,
151191_CMS,East,DF,<1 m,27,
151191_CMS,East,DF,1-2 m,4,
151191_CMS,East,WL,<1 m,5,
151191_CMS,East,WL,1-2 m,3,
151191_CMS,East,WL,2-4 m,1,
151191_CMS,South,DF,<1 m,22,
151191_CMS,South,DF,1-2 m,25,
151191_CMS,South,DF,2-4 m,1,
151191_CMS,South,WL,<1 m,4,
151191_CMS,South,WL,1-2 m,12,
151191_CMS,South,WL,2-4 m,22,
151191_CMS,South,ES,<1 m,1,
151191_CMS,South,ES,1-2 m,2,
151191_CMS,South,LP,<1 m,2,
151191_CMS,South,LP,1-2 m,2,
151191_CMS,West,DF,<1 m,63,
151191_CMS,West,DF,1-2 m,31,
151191_CMS,West,WL,<1 m,10,
151191_CMS,West,WL,1-2 m,22,
151191_CMS,West,WL,2-4 m,5,
151191_CMS,West,ES,<1 m,1,
151191_CMS,West,ES,1-2 m,1,
151191_CMS,West,LP,1-2 m,1,
143306_DHS,North,DF,<1 m,20,
143306_DHS,North,ES,<1 m,17,
143306_DHS,North,RC,<1 m,5,
143306_DHS,North,WL,<1 m,4,
143306_DHS,North,WL,2-4 m,12,
143306_DHS,North,WL,1-2 m,4,
143306_DHS,East,WL,1-2 m,2,
143306_DHS,East,WL,2-4 m,4,
143306_DHS,East,DF,<1 m,14,
143306_DHS,East,ES,<1 m,21,
143306_DHS,East,DF,2-4 m,2,
143306_DHS,East,ES,1-2 m,2,
143306_DHS,South,WL,<1 m,2,
143306_DHS,South,WL,1-2 m,1,
143306_DHS,South,WL,2-4 m,8,
143306_DHS,South,DF,<1 m,10,
143306_DHS,South,DF,1-2 m,2,
143306_DHS,South,ES,<1 m,10,
143306_DHS,West,WL,<1 m,3,
143306_DHS,West,WL,1-2 m,14,
143306_DHS,West,WL,2-4 m,13,
143306_DHS,West,DF,<1 m,15,
143306_DHS,West,AS,1-2 m,2,
143306_DHS,West,AS,2-4 m,4,
143306_DHS,West,ES,<1 m,8,
143360_MMS,North,DF,<1 m,40,
143360_MMS,North,WL,1-2 m,1,
143360_MMS,North,WL,2-4 m,4,
143360_MMS,North,DF,1-2 m,5,
143360_MMS,North,RC,<1 m,3,
143360_MMS,North,RC,1-2 m,2,
143360_MMS,East,DF,<1 m,42,
143360_MMS,East,DF,1-2 m,8,
143360_MMS,East,ES,<1 m,2,
143360_MMS,East,AS,<1 m,1,
143360_MMS,East,AS,1-2 m,3,
143360_MMS,East,AS,2-4 m,1,
143360_MMS,East,WL,<1 m,1,
143360_MMS,East,WL,1-2 m,2,
143360_MMS,East,ES,1-2 m,1,
143360_MMS,East,WL,2-4 m,2,
143360_MMS,South,DF,<1 m,36,
143360_MMS,South,DF,1-2 m,13,
143360_MMS,South,ES,<1 m,2,
143360_MMS,South,WL,<1 m,5,
143360_MMS,South,WL,1-2 m,3,
143360_MMS,South,WL,2-4 m,2,
143360_MMS,South,AS,1-2 m,4,
143360_MMS,South,AS,<1 m,1,
143360_MMS,West,DF,<1 m,56,
143360_MMS,West,DF,1-2 m,19,
143360_MMS,West,DF,2-4 m,3,
143360_MMS,West,WL,<1 m,5,
143360_MMS,West,WL,1-2 m,11,
143360_MMS,West,WL,2-4 m,11,
143360_MMS,West,ES,<1 m,7,
143360_MMS,West,ES,1-2 m,3,
143360_MMS,West,RC,<1 m,1,
146201_MHN,North,DF,<1 m,40,
146201_MHN,North,DF,1-2 m,32,
146201_MHN,North,WL,<1 m,4,
146201_MHN,North,WL,1-2 m,26,
146201_MHN,North,WL,2-4 m,4,
146201_MHN,East,WL,<1 m,2,
146201_MHN,East,WL,1-2 m,2,
146201_MHN,East,DF,<1 m,5,
146201_MHN,East,WL,2-4 m,2,
146201_MHN,South,DF,<1 m,1,
146201_MHN,West,DF,<1 m,1,
151347_MMN,North,WL,2-4 m,8,
151347_MMN,North,ES,<1 m,5,
151347_MMN,North,LP,2-4 m,4,
151347_MMN,North,AS,1-2 m,1,
151347_MMN,North,LP,1-2 m,4,
151347_MMN,North,WL,<1 m,2,
151347_MMN,North,DF,1-2 m,5,
151347_MMN,North,LP,<1 m,2,
151347_MMN,North,DF,<1 m,1,
151347_MMN,East,LP,2-4 m,2,
151347_MMN,East,DF,<1 m,1,
151347_MMN,East,ES,<1 m,1,
151347_MMN,East,WL,2-4 m,8,
151347_MMN,East,DF,2-4 m,2,
151347_MMN,East,WL,<1 m,2,
151347_MMN,East,WL,1-2 m,2,
151347_MMN,East,SF,1-2 m,1,
151347_MMN,South,AS,1-2 m,1,
151347_MMN,South,AS,<1 m,3,
151347_MMN,South,WL,<1 m,5,
151347_MMN,South,LP,1-2 m,1,
151347_MMN,South,DF,<1 m,2,
151347_MMN,South,DF,1-2 m,2,
151347_MMN,South,SF,2-4 m,1,
151347_MMN,South,LP,<1 m,1,
151347_MMN,West,LP,2-4 m,15,
151347_MMN,West,WL,1-2 m,1,
151347_MMN,West,WL,<1 m,1,
151347_MMN,West,DF,<1 m,3,
151347_MMN,West,AS,<1 m,4,
151347_MMN,West,WL,2-4 m,3,
151347_MMN,West,LP,1-2 m,1,
151347_MMN,West,LP,<1 m,1,
151273_MHN,North,LP,1-2 m,1,
151273_MHN,North,LP,2-4 m,2,
151273_MHN,North,WL,2-4 m,3,
151273_MHN,North,DF,1-2 m,4,
151273_MHN,South,WL,<1 m,1,
151273_MHN,South,LP,1-2 m,3,
151273_MHN,South,LP,2-4 m,6,
151273_MHN,South,DF,<1 m,2,
151273_MHN,South,AS,1-2 m,2,
151273_MHN,West,LP,1-2 m,9,
151273_MHN,West,DF,1-2 m,2,
151273_MHN,West,LP,2-4 m,16,
151273_MHN,West,WL,2-4 m,1,
151273_MHN,West,AS,<1 m,1,
151273_MHN,West,LP,<1 m,5,
151273_MHN,West,DF,<1 m,2,
151273_MHN,West,AS,1-2 m,1,
78826_DMS,North,PP,2-4 m,1,
78826_DMS,North,DF,<1 m,2,
78826_DMS,North,AS,<1 m,3,
78826_DMS,East,DF,<1 m,7,
78826_DMS,East,DF,1-2 m,3,
78826_DMS,East,PP,1-2 m,4,
78826_DMS,West,PP,2-4 m,2,
78826_DMS,West,WL,2-4 m,1,
145400_MMS,North,AS,<1 m,16,
145400_MMS,North,AS,1-2 m,17,
145400_MMS,North,AS,2-4 m,4,
145400_MMS,North,DF,<1 m,12,
145400_MMS,North,DF,1-2 m,3,
145400_MMS,North,ES,<1 m,5,
145400_MMS,North,WL,<1 m,2,
145400_MMS,North,WL,1-2 m,6,
145400_MMS,North,WL,2-4 m,2,
145400_MMS,North,RC,<1 m,2,
145400_MMS,North,RC,1-2 m,1,
145400_MMS,East,WL,<1 m,11,
145400_MMS,East,WL,1-2 m,14,
145400_MMS,East,WL,2-4 m,6,
145400_MMS,East,DF,<1 m,22,
145400_MMS,East,DF,1-2 m,2,
145400_MMS,East,ES,<1 m,13,
145400_MMS,East,ES,1-2 m,1,
145400_MMS,East,RC,<1 m,7,
145400_MMS,East,RC,1-2 m,1,
145400_MMS,East,AS,<1 m,11,
145400_MMS,East,AS,1-2 m,5,
145400_MMS,East,AS,2-4 m,4,
145400_MMS,South,DF,<1 m,15,
145400_MMS,South,DF,1-2 m,7,
145400_MMS,South,WL,<1 m,5,
145400_MMS,South,WL,1-2 m,14,
145400_MMS,South,WL,2-4 m,8,
145400_MMS,South,AS,1-2 m,1,
145400_MMS,South,AS,2-4 m,2,
145400_MMS,South,ES,<1 m,6,
145400_MMS,West,AS,<1 m,8,
145400_MMS,West,AS,1-2 m,16,
145400_MMS,West,AS,2-4 m,1,
145400_MMS,West,DF,<1 m,11,
145400_MMS,West,WL,<1 m,6,
145400_MMS,West,WL,1-2 m,10,
145400_MMS,West,WL,2-4 m,2,
145400_MMS,West,ES,<1 m,2,
145400_MMS,West,RC,<1 m,20,
148091_CHS,North,AS,<1 m,18,
148091_CHS,North,AS,1-2 m,14,
148091_CHS,North,LP,2-4 m,18,
148091_CHS,North,DF,<1 m,16,
148091_CHS,North,DF,1-2 m,16,
148091_CHS,North,WL,<1 m,1,
148091_CHS,North,WL,1-2 m,7,
148091_CHS,North,WL,2-4 m,13,
148091_CHS,East,AS,<1 m,17,
148091_CHS,East,AS,1-2 m,13,
148091_CHS,East,AS,2-4 m,2,
148091_CHS,East,LP,<1 m,1,
148091_CHS,East,LP,1-2 m,3,
148091_CHS,East,LP,2-4 m,12,
148091_CHS,East,DF,<1 m,9,
148091_CHS,East,DF,1-2 m,3,
148091_CHS,East,WL,<1 m,2,
148091_CHS,East,WL,1-2 m,6,
148091_CHS,East,WL,2-4 m,11,
148091_CHS,East,ES,<1 m,1,
148091_CHS,South,AS,<1 m,38,
148091_CHS,South,AS,1-2 m,13,
148091_CHS,South,DF,<1 m,19,
148091_CHS,South,DF,1-2 m,15,
148091_CHS,South,WL,<1 m,1,
148091_CHS,South,WL,1-2 m,11,
148091_CHS,South,WL,2-4 m,25,
148091_CHS,South,LP,1-2 m,4,
148091_CHS,South,LP,2-4 m,12,
148091_CHS,South,ES,<1 m,1,
148091_CHS,West,AS,<1 m,25,
148091_CHS,West,AS,1-2 m,7,
148091_CHS,West,LP,<1 m,3,
148091_CHS,West,LP,1-2 m,3,
148091_CHS,West,LP,2-4 m,19,
148091_CHS,West,DF,<1 m,21,
148091_CHS,West,DF,1-2 m,2,
148091_CHS,West,WL,<1 m,2,
148091_CHS,West,WL,1-2 m,13,
148091_CHS,West,WL,2-4 m,14,
148091_CHS,West,ES,<1 m,4,
145501_CMN,North,ES,<1 m,19,
145501_CMN,North,ES,1-2 m,1,
145501_CMN,North,AS,<1 m,1,
145501_CMN,North,DF,<1 m,3,
145501_CMN,North,DF,1-2 m,2,
145501_CMN,West,ES,<1 m,67,
145501_CMN,West,DF,<1 m,4,
145501_CMN,West,AS,<1 m,1,
145501_CMN,West,AS,1-2 m,2,
145501_CMN,West,AS,2-4 m,1,
145501_CMN,West,SF,<1 m,6,
145501_CMN,West,ES,1-2 m,2,
145501_CMN,South,DF,<1 m,6,
145501_CMN,South,DF,1-2 m,3,
145501_CMN,South,ES,<1 m,48,
145501_CMN,South,ES,1-2 m,29,
145501_CMN,South,ES,2-4 m,1,
145501_CMN,South,AS,1-2 m,1,
145501_CMN,South,WL,1-2 m,1,
145501_CMN,South,WL,2-4 m,3,
145501_CMN,South,WL,<1 m,1,
145501_CMN,East,ES,<1 m,19,
145501_CMN,East,DF,<1 m,4,
145501_CMN,East,SF,<1 m,7,
151091_DHS,North,LP,2-4 m,27,
151091_DHS,North,WL,2-4 m,14,
151091_DHS,North,WL,1-2 m,4,
151091_DHS,North,DF,2-4 m,11,
151091_DHS,North,DF,<1 m,8,
151091_DHS,North,DF,1-2 m,16,
151091_DHS,North,LP,1-2 m,5,
151091_DHS,East,DF,<1 m,13,
151091_DHS,East,LP,2-4 m,16,
151091_DHS,East,WL,2-4 m,30,
151091_DHS,East,DF,2-4 m,14,
151091_DHS,East,DF,1-2 m,34,
151091_DHS,East,LP,1-2 m,3,
151091_DHS,East,ES,<1 m,1,
151091_DHS,East,WL,1-2 m,4,
151091_DHS,South,DF,<1 m,4,
151091_DHS,South,DF,1-2 m,4,
153967_MHS,South,ES,<1 m,92,
153967_MHS,South,DF,<1 m,4,
153967_MHS,South,WL,<1 m,1,
153967_MHS,South,ES,1-2 m,2,
153967_MHS,South,DF,1-2 m,1,
153967_MHS,South,WL,1-2 m,17,
153967_MHS,South,WL,<1 m,1,
153967_MHS,South,LP,2-4 m,21,
153967_MHS,South,LP,<1 m,6,
153967_MHS,South,LP,1-2 m,10,
153967_MHS,South,AS,1-2 m,15,
153967_MHS,South,WL,2-4 m,5,
153967_MHS,South,AS,<1 m,2,
153967_MHS,East,ES,<1 m,94,
153967_MHS,East,LP,<1 m,2,
153967_MHS,East,LP,1-2 m,9,
153967_MHS,East,LP,2-4 m,21,
153967_MHS,East,WL,1-2 m,10,
153967_MHS,East,WL,2-4 m,8,
153967_MHS,East,DF,<1 m,7,
153967_MHS,East,AS,1-2 m,5,
153967_MHS,East,AS,2-4 m,1,
153967_MHS,North,ES,<1 m,53,
153967_MHS,North,ES,1-2 m,2,
153967_MHS,North,LP,1-2 m,5,
153967_MHS,North,LP,2-4 m,9,
153967_MHS,North,WL,<1 m,1,
153967_MHS,North,WL,1-2 m,8,
153967_MHS,North,WL,2-4 m,6,
153967_MHS,North,DF,<1 m,4,
153967_MHS,North,AS,1-2 m,2,
153967_MHS,North,AS,2-4 m,2,
153967_MHS,North,RA,1-2 m,6,
153967_MHS,West,ES,<1 m,145,
153967_MHS,West,ES,1-2 m,2,
153967_MHS,West,WL,<1 m,2,
153967_MHS,West,WL,1-2 m,4,
153967_MHS,West,DF,<1 m,8,
153967_MHS,West,DF,1-2 m,1,
153967_MHS,West,LP,<1 m,4,
153967_MHS,West,LP,1-2 m,3,
153967_MHS,West,LP,2-4 m,39,
153967_MHS,West,WL,2-4 m,10,
153967_MHS,West,AS,1-2 m,3,
153967_MHS,West,AS,<1 m,2,
150795_CHS,North,LP,1-2 m,62,
150795_CHS,North,LP,2-4 m,71,
150795_CHS,North,LP,<1 m,16,
150795_CHS,North,WL,1-2 m,22,
150795_CHS,North,WL,2-4 m,7,
150795_CHS,North,DF,<1 m,36,
150795_CHS,North,ES,<1 m,4,
150795_CHS,North,WL,<1 m,3,
150795_CHS,North,AS,<1 m,2,
150795_CHS,North,DF,1-2 m,3,
150795_CHS,East,LP,1-2 m,80,
150795_CHS,East,LP,2-4 m,25,
150795_CHS,East,LP,<1 m,23,
150795_CHS,East,WL,1-2 m,14,
150795_CHS,East,WL,<1 m,6,
150795_CHS,East,WL,2-4 m,6,
150795_CHS,East,ES,<1 m,17,
150795_CHS,East,DF,1-2 m,2,
150795_CHS,East,DF,<1 m,34,
150795_CHS,East,AS,1-2 m,1,
150795_CHS,South,LP,1-2 m,31,
150795_CHS,South,LP,2-4 m,45,
150795_CHS,South,LP,<1 m,17,
150795_CHS,South,WL,<1 m,3,
150795_CHS,South,WL,1-2 m,12,
150795_CHS,South,WL,2-4 m,11,
150795_CHS,South,DF,<1 m,14,
150795_CHS,South,DF,1-2 m,13,
150795_CHS,South,ES,<1 m,9,
150795_CHS,South,AS,<1 m,3,
150795_CHS,West,LP,1-2 m,60,
150795_CHS,West,LP,2-4 m,22,
150795_CHS,West,WL,1-2 m,17,
150795_CHS,West,WL,<1 m,4,
150795_CHS,West,WL,2-4 m,2,
150795_CHS,West,ES,<1 m,3,
150795_CHS,West,DF,<1 m,11,
150795_CHS,West,DF,1-2 m,3,
150795_CHS,West,AS,1-2 m,1,
153506_MMS,North,LP,<1 m,71,
153506_MMS,North,LP,1-2 m,73,
153506_MMS,North,LP,2-4 m,2,
153506_MMS,North,WL,<1 m,14,
153506_MMS,North,WL,1-2 m,16,
153506_MMS,North,DF,<1 m,2,
153506_MMS,North,RA,1-2 m,14,
153506_MMS,North,RA,2-4 m,42,
153506_MMS,East,LP,<1 m,40,
153506_MMS,East,LP,1-2 m,63,
153506_MMS,East,LP,2-4 m,13,
153506_MMS,East,WL,<1 m,12,
153506_MMS,East,WL,1-2 m,20,
153506_MMS,East,WL,2-4 m,2,
153506_MMS,East,RA,1-2 m,10,
153506_MMS,East,RA,2-4 m,18,
153506_MMS,South,LP,<1 m,97,
153506_MMS,South,LP,1-2 m,71,
153506_MMS,South,LP,2-4 m,11,
153506_MMS,South,WL,<1 m,8,
153506_MMS,South,WL,1-2 m,6,
153506_MMS,South,WL,2-4 m,1,
153506_MMS,South,ES,<1 m,3,
153506_MMS,South,DF,<1 m,3,
153506_MMS,South,RA,1-2 m,2,
153506_MMS,South,RA,2-4 m,41,
153506_MMS,West,LP,<1 m,88,
153506_MMS,West,LP,1-2 m,75,
153506_MMS,West,LP,2-4 m,4,
153506_MMS,West,WL,<1 m,9,
153506_MMS,West,WL,1-2 m,11,
153506_MMS,West,WL,2-4 m,5,
153506_MMS,West,DF,<1 m,3,
153506_MMS,West,RA,1-2 m,4,
153506_MMS,West,RA,2-4 m,12,
153506_MMS,West,ES,<1 m,1,
999906_DHS,North,LP,<1 m,108,
999906_DHS,North,LP,1-2 m,101,
999906_DHS,North,DF,<1 m,22,
999906_DHS,North,WL,<1 m,4,
999906_DHS,North,WL,1-2 m,7,
999906_DHS,North,ES,<1 m,8,
999906_DHS,North,LP,2-4 m,38,
999906_DHS,North,AS,<1 m,3,
999906_DHS,East,LP,<1 m,72,
999906_DHS,East,LP,1-2 m,43,
999906_DHS,East,LP,2-4 m,8,
